record,n_samples,fs_(Hz),duration_(s),channels,start_time,end_time,duration_minus_10min_s
0379_001_018_ECG,76000,500,152.0,['ECG'],18:57:28,18:59:59,0.0
0379_002_019_ECG,1800000,500,3600.0,['ECG'],19:00:00,19:59:59,3000.0
0379_003_020_ECG,1800000,500,3600.0,['ECG'],20:00:00,20:59:59,3000.0
0379_004_021_ECG,1800000,500,3600.0,['ECG'],21:00:00,21:59:59,3000.0
0379_005_022_ECG,1724500,500,3449.0,['ECG'],22:00:00,22:57:28,2849.0
0379_006_022_ECG,75000,500,150.0,['ECG'],22:57:30,22:59:59,0.0
0379_007_023_ECG,1800000,500,3600.0,['ECG'],23:00:00,23:59:59,3000.0
0379_008_024_ECG,1800000,500,3600.0,['ECG'],24:00:00,24:59:59,3000.0
0379_009_025_ECG,1800000,500,3600.0,['ECG'],25:00:00,25:59:59,3000.0
0379_010_026_ECG,1725000,500,3450.0,['ECG'],26:00:00,26:57:29,2850.0
0379_011_026_ECG,73000,500,146.0,['ECG'],26:57:34,26:59:59,0.0
0379_012_027_ECG,1800000,500,3600.0,['ECG'],27:00:00,27:59:59,3000.0
0379_013_028_ECG,1800000,500,3600.0,['ECG'],28:00:00,28:59:59,3000.0
0379_014_029_ECG,1800000,500,3600.0,['ECG'],29:00:00,29:59:59,3000.0
0379_015_030_ECG,1727000,500,3454.0,['ECG'],30:00:00,30:57:33,2854.0
0379_016_030_ECG,71000,500,142.0,['ECG'],30:57:38,30:59:59,0.0
0379_017_031_ECG,1800000,500,3600.0,['ECG'],31:00:00,31:59:59,3000.0
0379_018_032_ECG,1800000,500,3600.0,['ECG'],32:00:00,32:59:59,3000.0
0379_019_033_ECG,1800000,500,3600.0,['ECG'],33:00:00,33:59:59,3000.0
0379_020_034_ECG,1729000,500,3458.0,['ECG'],34:00:00,34:57:37,2858.0
0379_021_034_ECG,69000,500,138.0,['ECG'],34:57:42,34:59:59,0.0
0379_022_035_ECG,1800000,500,3600.0,['ECG'],35:00:00,35:59:59,3000.0
0379_023_036_ECG,1800000,500,3600.0,['ECG'],36:00:00,36:59:59,3000.0
0379_024_037_ECG,1800000,500,3600.0,['ECG'],37:00:00,37:59:59,3000.0
0379_025_038_ECG,1731000,500,3462.0,['ECG'],38:00:00,38:57:41,2862.0
0379_026_038_ECG,67500,500,135.0,['ECG'],38:57:45,38:59:59,0.0
0379_027_039_ECG,1800000,500,3600.0,['ECG'],39:00:00,39:59:59,3000.0
0379_028_040_ECG,1800000,500,3600.0,['ECG'],40:00:00,40:59:59,3000.0
0379_029_041_ECG,1800000,500,3600.0,['ECG'],41:00:00,41:59:59,3000.0
0379_030_042_ECG,1732500,500,3465.0,['ECG'],42:00:00,42:57:44,2865.0
0379_031_042_ECG,65000,500,130.0,['ECG'],42:57:50,42:59:59,0.0
0379_032_043_ECG,1800000,500,3600.0,['ECG'],43:00:00,43:59:59,3000.0
0379_033_044_ECG,1800000,500,3600.0,['ECG'],44:00:00,44:59:59,3000.0
0379_034_045_ECG,1800000,500,3600.0,['ECG'],45:00:00,45:59:59,3000.0
0379_035_046_ECG,1735000,500,3470.0,['ECG'],46:00:00,46:57:49,2870.0
0379_036_046_ECG,63000,500,126.0,['ECG'],46:57:54,46:59:59,0.0
0379_037_047_ECG,786500,500,1573.0,['ECG'],47:00:00,47:26:12,973.0
